id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1341;239;Pain complet graines de lin Evernat 500g;https://www.etiketbio.eu/pains/6688-evernat-pain-complet-graines-de-lin-500g-3229820102269.html;Pain complet graines de lin 500g;3229820102269;;762;46247,44267
2496;845;Couscous complet Markal 1KG;https://www.etiketbio.eu/couscous-bio/15480-markal-couscous-complet-1kg-3329486411122.html;Couscous complet bio 1kg – Markal;3329486411122;;745;46247,57285
2493;950;Graines de tournesol décortiquées Markal 500g;https://www.etiketbio.eu/graines-de-tournesol/15499-markal-graines-de-tournesol-3329488411205.html;Graines de tournesol bio Markal 500g;3329488411205;;679;46247,57229
2167;1454;Ratatouille à la catalane Prosain 345g;https://www.etiketbio.eu/ratatouille-bio-en-bocal/7752-prosain-ratatouille-a-la-catalane-345g-3335880004822.html;Ratatouille a la catalane 345g;3335880004822;;735;46247,52671
119;1575;Flocons de quinoa Priméal 500g;https://www.etiketbio.eu/flocons-de-riz-et-de-quinoa-bio/8219-primeal-flocons-de-quinoa-500g-3380390069403.html;Flocons de quinoa 500g;3380390069403;;677;46246,54817
1827;1596;Tonique gingembre citron vert Vitamont 50cl;https://www.etiketbio.eu/jus-de-fruits/7327-vitamont-boisson-tonique-gingembre-citron-vert-50cl-3289196700025.html;Boisson tonique gingembre citron vert 50cl;3289196700025;;667;46247,50633
260;2031;Tisane stress bio Romon Nature 20 sachets;https://www.etiketbio.eu/tisane-sommeil-detente-bio/8364-romon-nature-plantasia-stress-26g-20-sachets-3388742801602.html;Stress bio Romon Nature – 20 sachets;3388742801602;;777;46247,53102
2512;3756;Riz basmati blanc bio Markal 1kg;https://www.etiketbio.eu/riz-basmati-bio/7613-markal-riz-basmati-blanc-inde-1kg-3329485431121.html;Riz basmati blanc Inde 1kg - Markal;3329485431121;;718;46247,57403
1207;4056;Concentré de tomate 22% Danival 200G;https://www.etiketbio.eu/sauce-tomate-nature/23831-danival-concentre-de-tomate-22-200g-3431590000120.html;Concentre de tomate 22% 200g;3431590000120;;726;46247,42087
1238;4647;Ratatouille du moulin Danival 670g;https://www.etiketbio.eu/ratatouille-bio-en-bocal/9191-danival-ratatouille-du-moulin-670g-3431590000113.html;Ratatouille du moulin 670g;3431590000113;;693;46247,42608
1939;4817;Boisson bio soja nature Soy 1L;https://www.etiketbio.eu/boisson-au-soja/6794-soy-biosoy-nature-1l-cc-3259010500018.html;Boisson soja nature 1L Soy;3259010500018;;774;46247,51959
1187;7089;Purée pomme abricot Dani'Pom Danival 700g;https://www.etiketbio.eu/purees-de-fruits/9227-danival-danipom-pomme-abricot-700g-3431590002599.html;Dani’Pom Pomme Abricot 700g Danival;3431590002599;;766;46247,41883
2469;8150;Protéines de soja gros morceaux Markal 175g;https://www.etiketbio.eu/soja-bio-/15495-markal-proteine-de-soja-gros-morceaux-175g-3329487101756.html;Protéine soja gros morceaux 175g - Markal;3329487101756;;679;46247,57031
2125;8605;Confiture extra de fraises Prosain 350g;https://www.etiketbio.eu/confiture-de-fruits-rouges/7697-prosain-confiture-fraise-350g-3335880001388.html;Confiture de fraise extra bio Prosain 350g;3335880001388;;670;46247,52376
1732;8616;Pur jus de tomate Vitamont 75cl;https://www.etiketbio.eu/jus-de-tomate/7287-vitamont-pur-jus-de-tomate-de-marmande-75cl-3289196500038.html;Pur jus tomate Marmande Vitamont 75cl;3289196500038;;686;46247,50079
1233;9084;Taboulé du moulin Danival 620g;https://www.etiketbio.eu/plats-prepares/25904-danival-taboule-du-moulin-620g-3431590002742.html;Taboule du moulin 620g;3431590002742;;677;46247,42539
2336;10037;Semoule blanche BIO Grosse Markal 500G;https://www.etiketbio.eu/semoule-de-ble-dur-bio/15473-markal-semoule-blanche-de-ble-dur-grosse-500g-3329486321209.html;Semoule blanche grosse 500g - Markal;3329486321209;;787;46247,55686
9;10311;Bretzels au quinoa Priméal 200g;https://www.etiketbio.eu/biscuits-aperitif/8184-primeal-bretzels-au-quinoa-200g-3380390000437.html;BRETZELS AU QUINOA 200G;3380390000437;;681;46246,53714
83;10698;Tortils citron safran Priméal 250g;https://www.etiketbio.eu/specialites/8255-primeal-tortils-citron-safran-250g-3380390173506.html;Tortils citron safran bio 250g Priméal;3380390173506;;787;46246,54299
1920;11076;Sauce tomate aux olives Prosain 200g;https://www.etiketbio.eu/sauce-tomate-preparee/7774-prosain-sauce-tomate-aux-olives-200g-3335880005867.html;Sauce tomate olives Prosain 200g;3335880005867;;784;46247,51692
38;11413;Quinoa real Priméal 1kg;https://www.etiketbio.eu/quinoa-bio/8312-primeal-quinoa-real-blanc-1kg-3380390410304.html;Quinoa real blanc Priméal 1kg;3380390410304;;708;46246,53861
