id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
2465;925;Riz Long Demi-Complet de Camargue Bio Markal 1KG;https://www.etiketbio.eu/riz-de-camargue-bio/15437-markal-riz-long-1-2-complet-camargue-1kg-3329485121121.html;Riz long 1/2 complet Camargue 1kg - Markal;3329485121121;;561;46247,56933
2357;939;Semoule complète de blé dur fine Markal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/15474-markal-semoule-complete-de-ble-dur-fine-500g-3329486331208.html;Semoule complète fine 500g - Markal;3329486331208;;536;46247,55847
71;1867;Spaghetti de quinoa ail et persil Priméal 500g;https://www.etiketbio.eu/specialites/8257-primeal-spaghettis-ble-et-quinoa-ail-et-persil-500g-3380390175531.html;Spaghettis ble et quinoa, ail et persil 500g;3380390175531;;520;46246,54118
233;2039;Tisane transit Romon Nature 20 sachets;https://www.etiketbio.eu/tisanes-en-sachets/8365-romon-nature-plantasia-transit-32g-20-sachets-3388742801701.html;Tisane Transit bio Romon Nature;3388742801701;;541;46247,53039
73;4270;Tagliatelles spiruline Priméal 250g;https://www.etiketbio.eu/specialites/8254-primeal-tagliatelles-a-la-spiruline-250g-3380390169523.html;Tagliatelles à la spiruline bio 250g Priméal;3380390169523;;506;46246,5415
1478;5474;Moutarde forte de Dijon Emile Noel 200g;https://www.etiketbio.eu/moutardes/7404-emile-noel-moutarde-forte-de-dijon-bio-200g-3291960011862.html;Moutarde forte de dijon bio 200g;3291960011862;;563;46247,45399
2504;5792;Coquillettes demi complètes Markal 500g;https://www.etiketbio.eu/pate-demi-complete/24024-markal-coquillettes-1-2-completes-500g-cc-3329489301154.html;Coquillettes 1/2 complètes 500g - Markal;3329489301154;;589;46247,57324
2509;5793;Spirales demi complètes Markal 500g;https://www.etiketbio.eu/pate-demi-complete/24028-markal-spirales-1-2-completes-500g-3329489309150.html;Spirales 1/2 complètes 500g - Markal;3329489309150;;580;46247,57383
1472;6574;Vinaigre balsamique Emile Noël 25CL;https://www.etiketbio.eu/vinaigre-balsamique-bio/7371-emile-noel-vinaigre-balsamique-modene-igp-25cl-3291960008398.html;Vinaigre balsamique Modène IGP 25cl bio – Émile Noël;3291960008398;;515;46247,45184
1937;8466;Boisson bio au soja vanille Soy 1L;https://www.etiketbio.eu/boisson-au-soja/6795-soy-biosoy-vanille-1l-3259010500032.html;Boisson soja vanille 1L Soy;3259010500032;;632;46247,5194
1145;9494;Shampoing reflet et brillance Dermaclay 250ml;https://www.etiketbio.eu/shampooing/24506-dermaclay-shampooing-bio-reflet-et-brillance-250ml-3567730300260.html;Shampooing bio reflet et brillance 250ml;3567730300260;;549;46247,41663
1835;10009;Limonade d'Antan Vitamont 33cl;https://www.etiketbio.eu/sodas/7340-vitamont-limonade-dantan-33cl-3289196820013.html;Limonade d'antan 33cl;3289196820013;;612;46247,50721
1818;10014;Pur jus de pomme Vitamont 20cl;https://www.etiketbio.eu/jus-de-pomme/7251-vitamont-tetra-pur-jus-de-pomme-20cl-3289196260284.html;Tetra jus pomme bio Vitamont 20cl;3289196260284;;550;46247,50506
1709;10015;Pur jus d'orange de Grèce Vitamont 1l;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7314-vitamont-pur-jus-dorange-de-grece-1l-3289196500502.html;Pur jus orange Grèce Vitamont 1L;3289196500502;;525;46247,49872
485;10256;Thé noir breakfast ceylan Destination 100g;https://www.etiketbio.eu/the-noir-bio/19109-destination-the-breakfast-n4-100g-3700110008282.html;Thé Breakfast Destination 100g;3700110008282;;556;46247,32097
381;10548;Liquide vaisselle douceur à la verveine Ecodoo 500ML;https://www.etiketbio.eu/liquide-vaisselle/8338-ecodoo-liquide-vaisselle-douceur-verveine-500ml-3380390900744.html;Liquide vaisselle verveine 500ml Ecodoo;3380390900744;;536;46246,65253
1467;11889;Huile de chanvre vierge Emile Noël 25cl;https://www.etiketbio.eu/huile-de-chanvre-bio/7392-emile-noel-huile-vierge-de-chanvre-25cl-3291960011107.html;Huile vierge de chanvre 25cl;3291960011107;;597;46247,45068
1392;12265;Huile de noix vierge Emile Noël 50cl;https://www.etiketbio.eu/huiles/7365-emile-noel-huile-vierge-de-noix-50cl-3291960006790.html;Huile vierge de noix 50cl;3291960006790;;585;46247,44881
1527;12991;Germe de blé enzymes actifs Germline 250g;https://www.etiketbio.eu/graines-a-germer/27251-germes-de-ble-aux-enzymes-actifs-250gr-3465511502523.html;Germe de blé bio Germline 250g;3465511502523;;563;46247,46336
234;13162;Tisane cholestérol bio Romon Nature 20 sachets;https://www.etiketbio.eu/tisanes-en-sachets/9765-romon-nature-plantasia-cholesterol-32g-20-sachets-3554742853143.html;Tisane Cholestérol bio Romon Nature;3554742853143;;617;46247,5305
