id;code_interne;ean;description;marque;volume;lien_fiche;caracteristique;url_img;categorie_id;ean_valide;date_validation
1;27713;;Lait de croissance 3ème âge dès 10 mois Babybio 25cl;Babybio;1L;https://eau-vive.com/magasin-bio/produit/lait-de-croissance-3eme-age-des-10-mois-babybio-25cl_27713;Sans Huile de Palme;https://api.eau-vive.com/media/cache/drive_card_list/8a/88/1f8812809cfda35928ac52591492.jpg;6;0;2026-08-16
2;81185;3288131580333;Lait de croissance Optima 3 dès 10 mois Babybio 800g;Babybio;800g;https://eau-vive.com/magasin-bio/produit/lait-de-croissance-optima-3-des-10-mois-babybio-800g_81185;Sans Huile de Palme;https://api.eau-vive.com/media/cache/drive_card_list/91/2e/cfa5f1673d00d8b9cf1118c8052c.jpg;6;0;2026-08-13
3;84075;;Lait de croissance Optima 2  dès 6 mois Babybio 800g;Babybio;800g;https://eau-vive.com/magasin-bio/produit/lait-de-croissance-optima-2-des-6-mois-babybio-800g_84075;"Sans Gluten; Sans Huile de Palme; Sans Oeuf; Sans Sel";https://api.eau-vive.com/media/cache/drive_card_list/fd/3e/dfa7d76548496c226dd4e9795817.jpg;;0;2026-08-16
4;80996;;Lait infantile caprea 3 dès 10 mois BabyBio 800g;Babybio;800g;https://eau-vive.com/magasin-bio/produit/lait-infantile-caprea-3-des-10-mois-babybio-800g_80996;"Sans Gluten; Sans Huile de Palme; Sans Oeuf";;;0;2026-08-16
5;16916;;Lait de croissance 3ème âge dès 10 mois Babybio 1l;Babybio;1L;https://eau-vive.com/magasin-bio/produit/lait-de-croissance-3eme-age-des-10-mois-babybio-1l_16916;;https://api.eau-vive.com/media/cache/drive_card_list/49/3b/798fd06f413e2afe90c4c057639c.jpg;6;0;2026-08-16
6;122716;3760262841304;Lait infantile 2ème âge dès 6 mois Popote 800g;Popote;800g;https://eau-vive.com/magasin-bio/produit/lait-infantile-2eme-age-des-6-mois-popote-800g_122716;Sans Huile de Palme;;;0;2026-08-13
7;122722;3760262842035;Lait infantile 2ème âge dès 6 mois Popote 400g;Popote;400g;https://eau-vive.com/magasin-bio/produit/lait-infantile-2eme-age-des-6-mois-popote-400g_122722;Sans Huile de Palme;;;0;2026-08-13
8;122723;3760262842042;Lait infantile 1er âge Popote 400g;Popote;400g;https://eau-vive.com/magasin-bio/produit/lait-infantile-1er-age-popote-400g_122723;Sans Huile de Palme;https://api.eau-vive.com/media/cache/drive_card_list/85/ee/eed792d0bb98e5aa728405dd91e1.jpg;6;0;2026-08-12
9;6121;;Petits boudoirs à l'huile essentielle d'orange douce dès 8 mois Babybio x24;Babybio;120g;https://eau-vive.com/magasin-bio/produit/petits-boudoirs-a-l-huile-essentielle-d-orange-douce-des-8-mois-babybio-x24_6121;Sans Huile de Palme;;6;0;2026-08-16
10;76687;;Biscuits vanille dès 10 mois Good Goût 80g;;80g;https://eau-vive.com/magasin-bio/produit/biscuits-vanille-des-10-mois-good-gout-80g_76687;"Sans Sucre; Sans Lactose; Sans Sel; Sans Huile de Palme";;6;0;
11;122731;3760262842165;Céréales blé, avoine et seigle dès 6 mois Popote 220g;Popote;220g;https://eau-vive.com/magasin-bio/produit/cereales-ble-avoine-et-seigle-des-6-mois-popote-220g_122731;;;6;0;2026-08-13
12;27573;3288131510088;Petit pot de légumes et colin sauvage dès 6 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petit-pot-de-legumes-et-colin-sauvage-des-6-mois-babybio-2x200g_27573;Sans Huile de Palme;;6;0;2026-08-12
13;25795;;Petits pots carotte butternut riz dès 8 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pots-carotte-butternut-riz-des-8-mois-babybio-2x200g_25795;;;6;0;2026-08-16
14;26673;;Petits pots petits pois panais courgette veau dès 6 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pots-petits-pois-panais-courgette-veau-des-6-mois-babybio-2x200g_26673;;;6;0;2026-08-16
15;25798;;Petits pots carotte, potimarron, pomme et canard dès 8 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pots-carotte-potimarron-pomme-et-canard-des-8-mois-babybio-2x200g_25798;;;6;0;2026-08-16
16;25792;;Petits pots carotte tomate pâtes dès 8 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pots-carotte-tomate-pates-des-8-mois-babybio-2x200g_25792;"Sans Huile de Palme; Sans Oeuf; Sans Sel; Sans Lactose";;6;0;2026-08-16
17;22184;;Petits pot maïs doux et poulet fermier dès 8 mois Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pot-mais-doux-et-poulet-fermier-des-8-mois-babybio-2x200g_22184;;;6;0;2026-08-16
18;25796;;Petits pots petits pois maïs riz de Camargue dès 6 mois  Babybio 2x200g;Babybio;400g;https://eau-vive.com/magasin-bio/produit/petits-pots-petits-pois-mais-riz-de-camargue-des-6-mois-babybio-2x200g_25796;"Sans Gluten; Sans Lactose";;6;0;2026-08-16
19;25786;;Petits pots Jardinière de légumes dès 4 mois Babybio 2x130g;Babybio;260g;https://eau-vive.com/magasin-bio/produit/petits-pots-jardiniere-de-legumes-des-4-mois-babybio-2x130g_25786;Sans Sel;;6;0;2026-08-16
20;122696;3760262840017;Gourde artichaut dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-artichaut-des-4-mois-popote-120g_122696;;;6;1;2026-08-13
21;122697;3760262840048;Gourde brocoli dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-brocoli-des-4-mois-popote-120g_122697;;;6;0;2026-08-13
22;122698;3760262840076;Gourde courge butternut dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-courge-butternut-des-4-mois-popote-120g_122698;;;;0;2026-08-13
23;122699;3760262840086;Gourde épinards dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-epinards-des-4-mois-popote-120g_122699;;;;1;2026-08-13
24;122700;3760262840109;Gourde patate douce dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-patate-douce-des-4-mois-popote-120g_122700;;;;0;2026-08-13
25;122701;3760262840116;Gourde petits pois dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-petits-pois-des-4-mois-popote-120g_122701;;https://api.eau-vive.com/media/cache/drive_card_list/aa/cf/b4d0fe982580d6c4938a0bcef514.jpg;;0;2026-08-13
26;122702;3760262840123;Gourde haricots verts dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-haricots-verts-des-4-mois-popote-120g_122702;;https://api.eau-vive.com/media/cache/drive_card_list/42/3c/79a2fdded54eb270583a745fc68c.jpg;6;0;2026-08-13
27;122703;3760262840130;Gourde carotte dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-carotte-des-4-mois-popote-120g_122703;;https://api.eau-vive.com/media/cache/drive_card_list/e5/05/01aca015fb15f12590714e13ffc3.jpg;6;0;2026-08-13
28;122704;3760262840154;Gourde dinde dès 4 mois Popote 60g;Popote;60g;https://eau-vive.com/magasin-bio/produit/gourde-dinde-des-4-mois-popote-60g_122704;;https://api.eau-vive.com/media/cache/drive_card_list/90/9f/5439b70801919cdce6ae1e7f14cf.jpg;6;0;2026-08-13
29;122705;3760262840185;Gourde jambon dès 4 mois Popote 60g;Popote;60g;https://eau-vive.com/magasin-bio/produit/gourde-jambon-des-4-mois-popote-60g_122705;;https://api.eau-vive.com/media/cache/drive_card_list/73/86/35103f8a619925d07bf4ecb75510.jpg;6;0;2026-08-13
30;122706;3760262840185;Gourde boeuf dès 4 mois Popote 60g;Popote;60g;https://eau-vive.com/magasin-bio/produit/gourde-boeuf-des-4-mois-popote-60g_122706;;https://api.eau-vive.com/media/cache/drive_card_list/45/55/7b1fe986726e8ca52b620609da83.jpg;6;0;2026-08-13
31;123479;3760262840499;Gourde colin d'Alaska dès 4 mois Popote 60g;Popote;60g;https://eau-vive.com/magasin-bio/produit/gourde-colin-d-alaska-des-4-mois-popote-60g_123479;Sans Gluten;https://api.eau-vive.com/media/cache/drive_card_list/81/22/6d2698d1d7b50371c327d4470e51.jpg;6;0;2026-08-13
32;26678;;Purée pomme fraise dès 6 mois Babybio 2x130g;Babybio;260g;https://eau-vive.com/magasin-bio/produit/puree-pomme-fraise-des-6-mois-babybio-2x130g_26678;"Sans Lactose; Sans Sucre";;6;0;2026-08-16
33;25804;;Purée pomme coing dès 4 mois Babybio 2x130g;Babybio;260g;https://eau-vive.com/magasin-bio/produit/puree-pomme-coing-des-4-mois-babybio-2x130g_25804;"Sans Sucre; Sans Lactose";;6;0;2026-08-16
34;25805;;Purée pomme pruneau dès 4 mois Babybio 2x130g;Babybio;260g;https://eau-vive.com/magasin-bio/produit/puree-pomme-pruneau-des-4-mois-babybio-2x130g_25805;"Sans Huile de Palme; Sans Gluten; Sans Sucre; Sans Lactose; Sans Oeuf";;6;0;2026-08-16
35;122707;3760262840222;Gourde myrtilles dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-myrtilles-des-4-mois-popote-120g_122707;;;6;1;2026-08-13
36;122708;3760262840253;Gourde framboises dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-framboises-des-4-mois-popote-120g_122708;;;6;0;2026-08-13
37;122709;3760262840260;Gourde abricot dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-abricot-des-4-mois-popote-120g_122709;;;;0;2026-08-13
38;122710;3760262840307;Gourde fraises dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-fraises-des-4-mois-popote-120g_122710;;;;0;2026-08-13
39;122711;3760262840314;Gourde banane dès 4 mois Popote 120g;Popote;120g;https://eau-vive.com/magasin-bio/produit/gourde-banane-des-4-mois-popote-120g_122711;;;;0;2026-08-13
