id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1788;10008;Cola Vitamont 33cl;https://www.etiketbio.eu/sodas/7342-vitamont-cola-bio-max-havelaar-33cl-3289196820051.html;Cola bio max havelaar 33cl;3289196820051;;236;2026-08-13 12:04:06
1835;10009;Limonade d'Antan Vitamont 33cl;https://www.etiketbio.eu/sodas/7340-vitamont-limonade-dantan-33cl-3289196820013.html;Limonade d'antan 33cl;3289196820013;;612;2026-08-13 12:10:23
1723;10013;Pur jus d'orange Vitamont 20cl;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7253-vitamont-tetra-jus-oranges-tetra-20cl-3289196260307.html;Tetra jus oranges tetra 20cl;3289196260307;;239;2026-08-13 11:59:51
1818;10014;Pur jus de pomme Vitamont 20cl;https://www.etiketbio.eu/jus-de-pomme/7251-vitamont-tetra-pur-jus-de-pomme-20cl-3289196260284.html;Tetra jus pomme bio Vitamont 20cl;3289196260284;;550;2026-08-13 12:07:17
1709;10015;Pur jus d'orange de Grèce Vitamont 1l;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7314-vitamont-pur-jus-dorange-de-grece-1l-3289196500502.html;Pur jus orange Grèce Vitamont 1L;3289196500502;;525;2026-08-13 11:58:09
2336;10037;Semoule blanche BIO Grosse Markal 500G;https://www.etiketbio.eu/semoule-de-ble-dur-bio/15473-markal-semoule-blanche-de-ble-dur-grosse-500g-3329486321209.html;Semoule blanche grosse 500g - Markal;3329486321209;;787;2026-08-13 13:21:53
562;100907;Café Doux Destination 500g;https://www.etiketbio.eu/cafe-en-grains/23885-destination-cafe-doux-pur-arabica-grains-fair-500gr-3700110053381.html;Cafe doux pur arabica grains  fair 500gr;3700110053381;;149;2026-08-13 07:54:33
2274;101319;Huile végétale de nigelle Herbes et Traditions 50ml;https://www.etiketbio.eu/huile-visage-bio/26863-huile-vegetale-nigelle-50ml-3700006538503.html;Huile vegetale nigelle 50ml;3700006538503;;346;2026-08-13 13:03:05
53;101840;Lentilles beluga Priméal 500g;https://www.etiketbio.eu/lentilles-bio/24686-primeal-lentilles-beluga-500g-3380390000390.html;Lentilles beluga bio Priméal 500g;3380390000390;;748;2026-08-12 12:57:49
1352;102488;Liquide vaisselle framboise Etamine Du Lys;https://www.etiketbio.eu/liquide-vaisselle/23967-etamine-du-lys-liquide-vaisselle-framboise-basilic-500ml-3538395214100.html;Liquide vaisselle framboise basilic Etamine du Lys;3538395214100;;783;2026-08-13 10:41:32
1940;102489;Courgette à la provençale Prosain 650g;https://www.etiketbio.eu/conserves-de-legumes/25217-prosain-courgette-a-la-provencale-au-basilic-650gr-3335880005140.html;Courgette a la provencale au basilic 650gr;3335880005140;;429;2026-08-13 12:28:21
1314;102490;Muesli au caramel 450G Favrichon;https://www.etiketbio.eu/granola-crunchy-krounchy/23982-favrichon-muesli-crousti-caramel-choco-amande-450gr-3111900350861.html;Muesli caramel chocolat bio 450g Favrichon;3111900350861;;541;2026-08-13 10:30:49
