id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
10;18776;Taboulé  Priméal 300g;https://www.etiketbio.eu/melanges-prparations/20024-primeal-taboule-au-chanvre-300g-3380380092213.html;Taboule au chanvre 300g;3380380092213;;349;2026-08-12 12:54:13
11;18776;Taboulé  Priméal 300g;https://www.etiketbio.eu/couscous-bio/20681-primeal-taboule-oriental-300g-3380380092664.html;Taboule oriental 300g;3380380092664;;585;2026-08-12 12:54:13
12;18776;Taboulé  Priméal 300g;https://www.etiketbio.eu/couscous-bio/20682-primeal-taboule-thai-300g-3380380092671.html;Taboule thai 300g;3380380092671;;432;2026-08-12 12:54:14
13;18776;Taboulé  Priméal 300g;https://www.etiketbio.eu/couscous-bio/8034-primeal-taboule-300g-3380380062070.html;Taboule 300g;3380380062070;;500;2026-08-12 12:54:14
19;22161;Couscous épeautre Priméal 500g;https://www.etiketbio.eu/couscous-bio/8181-primeal-couscous-quinoa-epeautre-500g-3380390000338.html;Couscous  epeautre 500g;3380390000338;;635;2026-08-12 12:54:36
20;22161;Couscous épeautre Priméal 500g;https://www.etiketbio.eu/boulgour-bio/20019-primeal-boulgour-de-petit-epeautre-de-haute-provence-500g-3380380055393.html;Boulgour de petit epeautre de haute provence 500g;3380380055393;;139;2026-08-12 12:54:36
25;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/8313-primeal-quinoa-real-blanc-500g-3380390410403.html;Quinoa Real blanc Priméal 500g;3380390410403;;711;2026-08-12 12:55:14
26;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/7882-primeal-quinoa-real-rouge-500g-3380380000003.html;Quinoa Real rouge Priméal 500g;3380380000003;;711;2026-08-12 12:55:14
27;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/8147-primeal-quinoa-real-noir-500g-3380380076459.html;Quinoa Real noir Priméal 500g;3380380076459;;725;2026-08-12 12:55:14
28;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/7960-primeal-trio-de-quinoa-500g-3380380053269.html;Trio de quinoa bio Priméal 500g;3380380053269;;382;2026-08-12 12:55:14
29;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/8041-primeal-duo-de-quinoa-500g-3380380063251.html;Duo de quinoa bio Priméal 500g;3380380063251;;352;2026-08-12 12:55:15
30;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/farines-autres/8239-primeal-farine-de-quinoa-500g-3380390131407.html;Farine de Quinoa Bio Priméal 500g;3380390131407;;333;2026-08-12 12:55:15
31;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/12844-primeal-coudes-ble-et-quinoa-tomate-500g-3380380000522.html;Tortils quinoa tomate bio 500g – Priméal;3380380000522;;355;2026-08-12 12:55:15
32;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/8256-primeal-spirales-ble-3-couleurs-au-quinoa-500g-3380390175524.html;Spirales 3 couleurs quinoa bio 500g Priméal;3380390175524;;294;2026-08-12 12:55:15
33;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/12072-primeal-spaghettis-ble-et-quinoa-curry-500g-3380390155007.html;Spaghettis blé quinoa curry bio 500g Priméal;3380390155007;;265;2026-08-12 12:55:15
34;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/quinoa-bio/7895-primeal-quinori-500g-3380380021671.html;Quinori bio Priméal 500g;3380380021671;;396;2026-08-12 12:55:15
35;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/12397-primeal-codini-ble-et-quinoa-gout-provencal-500g-3380390175517.html;Codini ble et quinoa gout provencal 500g;3380390175517;;152;2026-08-12 12:55:15
36;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/8257-primeal-spaghettis-ble-et-quinoa-ail-et-persil-500g-3380390175531.html;Spaghettis ble et quinoa, ail et persil 500g;3380390175531;;134;2026-08-12 12:55:15
37;1571;Quinoa Real Priméal 500g;https://www.etiketbio.eu/specialites/16104-primeal-spaghettis-ble-et-quinoa-tomate-500g-3380380051067.html;Spaghettis ble et quinoa tomate 500g;3380380051067;;178;2026-08-12 12:55:16
39;112202;Couscous blanc Priméal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/27516-semoule-ble-blanc-fine-500g-3380380110146.html;Semoule ble blanc fine 500g;3380380110146;;222;2026-08-12 12:55:52
40;112202;Couscous blanc Priméal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/27517-semoule-ble-blanc-grosse-500g-3380380110153.html;Semoule ble blanc grosse 500g;3380380110153;;243;2026-08-12 12:55:53
41;112202;Couscous blanc Priméal 500g;https://www.etiketbio.eu/couscous-bio/8227-primeal-couscous-blanc-500g-3380390100519.html;Couscous blanc 500g;3380390100519;;620;2026-08-12 12:55:53
48;123011;Couscous fin Priméal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/27516-semoule-ble-blanc-fine-500g-3380380110146.html;Semoule ble blanc fine 500g;3380380110146;;100;2026-08-12 12:56:48
49;123011;Couscous fin Priméal 500g;https://www.etiketbio.eu/boulgour-bio/19492-primeal-boulgour-fin-500g-3380390104401.html;Boulgour fin 500g;3380390104401;;310;2026-08-12 12:56:48
50;123011;Couscous fin Priméal 500g;https://www.etiketbio.eu/boulgour-bio/20019-primeal-boulgour-de-petit-epeautre-de-haute-provence-500g-3380380055393.html;Boulgour de petit epeautre de haute provence 500g;3380380055393;;51;2026-08-12 12:56:48
51;123011;Couscous fin Priméal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/8229-primeal-semoule-de-ble-dur-fine-complete-500g-3380390108409.html;Semoule de ble dur fine complete 500g;3380390108409;;69;2026-08-12 12:56:48
56;22833;Graines de lin brun Priméal 250g;https://www.etiketbio.eu/graines-de-lin-bio/25880-primeal-graine-de-lin-brun-france-250g-3380380062964.html;Graine de lin brun france 250g;3380380062964;;495;2026-08-12 12:58:00
57;22833;Graines de lin brun Priméal 250g;https://www.etiketbio.eu/graines-de-lin-bio/22023-primeal-graines-de-lin-brun-250g-3380390223508.html;Graines de lin brun 250g;3380390223508;;714;2026-08-12 12:58:01
60;121184;Lentilles corail Priméal 500g;https://www.etiketbio.eu/lentilles-bio/22790-primeal-lentilles-corail-500g-3380390202404.html;Lentilles corail bio Priméal 500g;3380390202404;;748;2026-08-12 12:58:40
61;121184;Lentilles corail Priméal 500g;https://www.etiketbio.eu/lentilles-bio/8077-primeal-lentilles-pois-500g-3380380070877.html;Lentilles & pois bio Priméal 500g;3380380070877;;480;2026-08-12 12:58:40
62;121185;Lentilles vertes Priméal 1kg;https://www.etiketbio.eu/lentilles-bio/8280-primeal-lentilles-vertes-france-1kg-3380390200301.html;Lentilles vertes bio Priméal 1kg;3380390200301;;747;2026-08-12 12:58:45
63;121185;Lentilles vertes Priméal 1kg;https://www.etiketbio.eu/lentilles-bio/28720-lentilles-vertes-france-1kg-3380380200304.html;Lentilles vertes france 1kg;3380380200304;;545;2026-08-12 12:58:45
64;121186;Lentilles vertes Priméal 500g;https://www.etiketbio.eu/lentilles-bio/20685-primeal-lentilles-vertes-france-500g-3380390200400.html;Lentilles vertes bio Priméal 500g;3380390200400;;748;2026-08-12 12:58:51
65;121186;Lentilles vertes Priméal 500g;https://www.etiketbio.eu/lentilles-bio/8077-primeal-lentilles-pois-500g-3380380070877.html;Lentilles & pois bio Priméal 500g;3380380070877;;440;2026-08-12 12:58:51
66;121186;Lentilles vertes Priméal 500g;https://www.etiketbio.eu/lentilles-bio/7924-primeal-trio-de-lentilles-500g-3380380037283.html;Trio de lentilles bio 500g - Priméal;3380380037283;;381;2026-08-12 12:58:51
67;121186;Lentilles vertes Priméal 500g;https://www.etiketbio.eu/melanges-prparations/17256-primeal-mescia-de-petit-epeautre-de-haute-provence-500g-3380380037108.html;Mescia de petit epeautre de haute provence 500g;3380380037108;;56;2026-08-12 12:58:51
75;27031;Perles blanches Priméal 500g;https://www.etiketbio.eu/specialites/8111-primeal-perles-blanches-500g-3380380073212.html;Perles blanches bio 500g Priméal - Pâtes de blé;3380380073212;;384;2026-08-12 13:00:08
76;27031;Perles blanches Priméal 500g;https://www.etiketbio.eu/specialites/8110-primeal-duo-de-perles-500g-3380380073205.html;Duo de perles bio 500g Priméal - Pâtes bicolores;3380380073205;;253;2026-08-12 13:00:08
84;116282;Spirales complètes Priméal 500g;https://www.etiketbio.eu/pate-demi-complete/8266-primeal-spirales-1-2-completes-100-france-500g-3380390184403.html;Spirales demi-complètes bio 500g Priméal France;3380390184403;;454;2026-08-12 13:02:00
85;116282;Spirales complètes Priméal 500g;https://www.etiketbio.eu/specialites/19491-spirales-epeautre-complet-500g-3380390000352.html;Spirales épeautre complet bio 500g Priméal;3380390000352;;411;2026-08-12 13:02:00
87;39216;Coquillettes complètes Priméal 500g;https://www.etiketbio.eu/pate-complete/8263-primeal-coquillettes-completes-500g-3380390181488.html;Coquillettes complètes bio 500g Priméal France;3380390181488;;576;2026-08-12 13:02:44
88;39216;Coquillettes complètes Priméal 500g;https://www.etiketbio.eu/pate-demi-complete/8262-primeal-coquillettes-1-2-completes-100-france-500g-3380390181402.html;Coquillettes 1/2 complètes bio 500g Priméal France;3380390181402;;412;2026-08-12 13:02:45
97;35400;Haricots verts Priméal 185g;https://www.etiketbio.eu/haricots-verts-haricots-beurre-bio/7984-primeal-haricots-verts-demeter-340ml-3380380055751.html;Haricots verts Demeter 340g – Priméal;3380380055751;;465;2026-08-12 13:04:23
98;35400;Haricots verts Priméal 185g;https://www.etiketbio.eu/haricots-verts-haricots-beurre-bio/20705-primeal-haricots-verts-extra-fins-france-370ml-3380380090950.html;Haricots verts bio Priméal 370ml;3380380090950;;468;2026-08-12 13:04:23
108;27766;Velouté de légumes verts Priméal 1l;https://www.etiketbio.eu/soupes-bio-pretes-a-deguster/16064-primeal-veloute-legumes-verts-33cl-3380380077760.html;Velouté légumes verts Priméal 33cl;3380380077760;;599;2026-08-12 13:07:05
109;27766;Velouté de légumes verts Priméal 1l;https://www.etiketbio.eu/soupes-bio-pretes-a-deguster/8091-primeal-veloute-de-legumes-verts-1l-3380380072291.html;Velouté légumes verts Priméal 1L;3380380072291;;796;2026-08-12 13:07:05
110;27766;Velouté de légumes verts Priméal 1l;https://www.etiketbio.eu/soupes-bio-pretes-a-deguster/25278-primeal-veloute-legumes-verts-sans-sel-ajoute-1l-3380380102820.html;Velouté légumes verts sans sel Priméal 1L;3380380102820;;602;2026-08-12 13:07:05
114;120597;Pâte pour Tom Yum Priméal 120g;https://www.etiketbio.eu/specialites/12844-primeal-coudes-ble-et-quinoa-tomate-500g-3380380000522.html;Tortils quinoa tomate bio 500g – Priméal;3380380000522;;83;2026-08-12 13:08:00
115;120597;Pâte pour Tom Yum Priméal 120g;https://www.etiketbio.eu/pate-demi-complete/24308-markal-papillons-1-2-complets-500g-3329489306159.html;Pâtes papillons 1/2 complètes bio Markal;3329489306159;;0;2026-08-12 13:08:00
123;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/couscous-bio/8181-primeal-couscous-quinoa-epeautre-500g-3380390000338.html;Couscous  epeautre 500g;3380390000338;;333;2026-08-12 13:12:54
124;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/couscous-bio/8067-primeal-couscous-1-2-complet-de-france-500g-3380380070457.html;Couscous 1/2 complet de france 500g;3380380070457;;321;2026-08-12 13:12:54
125;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/couscous-bio/8225-primeal-couscous-complet-500g-3380390100403.html;Couscous complet 500g;3380390100403;;630;2026-08-12 13:12:54
126;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/semoule-de-ble-dur-bio/8229-primeal-semoule-de-ble-dur-fine-complete-500g-3380390108409.html;Semoule de ble dur fine complete 500g;3380390108409;;78;2026-08-12 13:12:54
127;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/polenta-et-semoule-de-mais-bio/8230-primeal-semoule-de-mais-complete-500g-3380390110402.html;Semoule de mais complete 500g;3380390110402;;117;2026-08-12 13:12:55
128;121178;Couscous complet Priméal 500g;https://www.etiketbio.eu/boulgour-bio/19492-primeal-boulgour-fin-500g-3380390104401.html;Boulgour fin 500g;3380390104401;;120;2026-08-12 13:12:55
131;116032;Spaghetti complet Priméal 500g;https://www.etiketbio.eu/specialites/8252-primeal-spaghettis-epeautre-complet-500g-3380390166805.html;Spaghettis épeautre complet bio 500g Priméal;3380390166805;;405;2026-08-12 13:13:16
132;116032;Spaghetti complet Priméal 500g;https://www.etiketbio.eu/pate-demi-complete/8259-primeal-spaghettis-1-2-completes-500g-3380390180405.html;Spaghettis demi-complets bio 500g Priméal France;3380390180405;;220;2026-08-12 13:13:16
133;116032;Spaghetti complet Priméal 500g;https://www.etiketbio.eu/pate-complete/19497-primeal-spaghettis-complets-500g-3380390180481.html;Spaghettis complets bio 500g Priméal;3380390180481;;364;2026-08-12 13:13:17
134;8506;Riz rond complet Priméal 1kg;https://www.etiketbio.eu/riz-de-camargue-bio/7970-primeal-riz-de-camargue-rond-1-2-complet-1kg-3380380055188.html;Riz Camargue rond demi-complet IGP bio Priméal 1kg;3380380055188;;399;2026-08-12 13:13:22
135;8506;Riz rond complet Priméal 1kg;https://www.etiketbio.eu/riz-de-camargue-bio/8197-primeal-riz-de-camargue-rond-complet-igp-1kg-3380390014304.html;Riz de Camargue rond complet bio Priméal 1kg;3380390014304;;486;2026-08-12 13:13:22
136;8510;Riz long complet Priméal 1kg;https://www.etiketbio.eu/riz-de-camargue-bio/14028-primeal-riz-de-camargue-long-1-2-complet-1kg-3380380055096.html;Riz Camargue long demi-complet IGP bio Priméal 1kg;3380380055096;;399;2026-08-12 13:13:28
137;8510;Riz long complet Priméal 1kg;https://www.etiketbio.eu/riz-de-camargue-bio/8190-primeal-riz-de-camargue-long-complet-1kg-3380390004305.html;Riz Camargue long complet IGP bio Priméal 1kg;3380390004305;;479;2026-08-12 13:13:28
138;8510;Riz long complet Priméal 1kg;https://www.etiketbio.eu/riz-basmati-bio/19289-primeal-riz-basmati-complet-1kg-3380390016308.html;Riz basmati complet bio Priméal 1kg – Inde;3380390016308;;420;2026-08-12 13:13:28
139;8516;Riz long blanc Priméal 1kg;https://www.etiketbio.eu/riz-long/20703-primeal-riz-long-blanc-1kg-3380390007306.html;Riz long blanc bio Priméal 1kg – Italie;3380390007306;;590;2026-08-12 13:13:33
