id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
206,1,ean,24666,24666,NON,3700110055668,,OUI,Thé vert menthe Destination 50 sachets,Thé vert menthe Destination 50 sachets,NON,Destination,Destination,NON,87g,87g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-50-sachets_24666,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-50-sachets_24666,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/e8/cd/27286416ddc2c61f0d54d20ac852.jpg,https://api.eau-vive.com/media/cache/drive_card_list/e8/cd/27286416ddc2c61f0d54d20ac852.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
217,1,ean,16098,16098,NON,3700110005564,,OUI,Thé vert Japon grand sencha Destination 80g,Thé vert Japon grand sencha Destination 80g,NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-japon-grand-sencha-destination-80g_16098,https://eau-vive.com/magasin-bio/produit/the-vert-japon-grand-sencha-destination-80g_16098,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/f0/d7/102d800c20f61c0204003cd07c0b.jpg,https://api.eau-vive.com/media/cache/drive_card_list/f0/d7/102d800c20f61c0204003cd07c0b.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
227,1,ean,106190,106190,NON,3700110055521,,OUI,Thé Vert Bio FFL Destination 20 x 2 g,Thé Vert Bio FFL Destination 20 x 2 g,NON,Destination,Destination,NON,32g,32g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-ffl-destination-20-x-2-g_106190,https://eau-vive.com/magasin-bio/produit/the-vert-bio-ffl-destination-20-x-2-g_106190,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/7c/02/f7363b4eb0696d33160b72385b19.jpg,https://api.eau-vive.com/media/cache/drive_card_list/7c/02/f7363b4eb0696d33160b72385b19.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
228,1,ean,106828,106828,NON,3700110055620,,OUI,Thé Vert Earl Grey Bio et équitable Destination 20INF,Thé Vert Earl Grey Bio et équitable Destination 20INF,NON,Destination,Destination,NON,30g,30g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-earl-grey-bio-et-equitable-destination-20inf_106828,https://eau-vive.com/magasin-bio/produit/the-vert-earl-grey-bio-et-equitable-destination-20inf_106828,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/2d/a3/8ea2f65f04d28ca596e22864076c.jpg,https://api.eau-vive.com/media/cache/drive_card_list/2d/a3/8ea2f65f04d28ca596e22864076c.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
237,1,ean,16151,16151,NON,3700110008275,,OUI,Thé vert menthe Destination 100g,Thé vert menthe Destination 100g,NON,Destination,Destination,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-100g_16151,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-100g_16151,NON,,,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
620,1,ean,70604,70604,NON,3700110050700,,OUI,Chicorée nature soluble Destination 100g,Chicorée nature soluble Destination 100g,NON,Destination,Destination,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/chicoree-nature-soluble-destination-100g_70604,https://eau-vive.com/magasin-bio/produit/chicoree-nature-soluble-destination-100g_70604,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/90/09/796bb3798ef38b1ceaafa71d7322.jpg,https://api.eau-vive.com/media/cache/drive_card_list/90/09/796bb3798ef38b1ceaafa71d7322.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
667,1,ean,70507,70507,NON,3700110005243,,OUI,Thé vert gunpowder Chine Destination 200g,Thé vert gunpowder Chine Destination 200g,NON,Destination,Destination,NON,200g,200g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-gunpowder-chine-destination-200g_70507,https://eau-vive.com/magasin-bio/produit/the-vert-gunpowder-chine-destination-200g_70507,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/ba/58/5ef7ec7884dac861e9c013017650.jpg,https://api.eau-vive.com/media/cache/drive_card_list/ba/58/5ef7ec7884dac861e9c013017650.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
669,1,ean,93919,93919,NON,3700110050601,,OUI,Thé vert citron MH Destination 80g,Thé vert citron MH Destination 80g,NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-citron-mh-destination-80g_93919,https://eau-vive.com/magasin-bio/produit/the-vert-citron-mh-destination-80g_93919,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/4f/22/18cb7ecdfcb9f6229244ca6f53e7.jpg,https://api.eau-vive.com/media/cache/drive_card_list/4f/22/18cb7ecdfcb9f6229244ca6f53e7.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
670,1,ean,106197,106197,NON,3700110055644,,OUI,"Thé Vert Bio Destination 50 x 1,6 g","Thé Vert Bio Destination 50 x 1,6 g",NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-destination-50-x-1-6-g_106197,https://eau-vive.com/magasin-bio/produit/the-vert-bio-destination-50-x-1-6-g_106197,NON,Essentiel Bio,Essentiel Bio,NON,https://api.eau-vive.com/media/cache/drive_card_list/63/34/a5458737a9ac9d8e6e8bf3699e2d.jpg,https://api.eau-vive.com/media/cache/drive_card_list/63/34/a5458737a9ac9d8e6e8bf3699e2d.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
672,1,ean,106712,106712,NON,3700110055637,,OUI,Thé Vert BIO à la Menthe Destination 20 infusettes,Thé Vert BIO à la Menthe Destination 20 infusettes,NON,Destination,Destination,NON,35g,35g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-a-la-menthe-destination-20-infusettes_106712,https://eau-vive.com/magasin-bio/produit/the-vert-bio-a-la-menthe-destination-20-infusettes_106712,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/e9/2a/958c9457969851eb15e7d3bffa84.jpg,https://api.eau-vive.com/media/cache/drive_card_list/e9/2a/958c9457969851eb15e7d3bffa84.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
